country_yq,country,year_quarter,year_quarter_aux,reer_index,exports_all,exports_imports,ca_gdp,debt_reserves,portfolio_pib,real_gdp_yoy,cpi_index,fiscal_gdp,creditgdp,lending_deposit,msci_index,fed_funds,vix,id,bo,br,cl,co,mx,py,pe,uy
MX1995Q4,MX,1995-Q4,1/10/1995,-0.308124851,-0.013278077,1.094924507,-0.004380604,1.544328077,0.019309594,-0.068864763,0.3968431,0.036723653,0.495,1.35428014,-0.063703952,0.0572,0.033660573,6,0,0,0,0,1,0,0,0
MX1996Q1,MX,1996-Q1,1/1/1996,-0.239381267,0.09521727,1.089664667,-0.001034114,2.049117045,0.016399578,0.023227803,0.392076254,0.035080662,0.467,1.369804157,0.079958873,0.053633333,0.177051423,6,0,0,0,0,1,0,0,0
MX1996Q2,MX,1996-Q2,1/4/1996,-0.154925179,0.05390661,1.081243483,-0.001262811,1.989519317,0.022253077,0.078963932,0.29365466,0.037559807,0.445,1.378034532,0.023005937,0.052433333,0.061089601,6,0,0,0,0,1,0,0,0
MX1996Q3,MX,1996-Q3,1/7/1996,-0.091634042,0.051005585,1.061338081,-0.002263557,1.843712844,0.086963,0.079589445,0.266493043,0.033225519,0.425,1.365513313,-0.033931914,0.053066667,0.024750855,6,0,0,0,0,1,0,0,0
MX1996Q4,MX,1996-Q4,1/10/1996,-0.050618979,0.013159889,1.043428681,-0.006107282,1.648250709,0.003703664,0.09001443,0.247942745,0.031442633,0.407,1.40253201,-0.012780023,0.0528,0.02517811,6,0,0,0,0,1,0,0,0
MX1997Q1,MX,1997-Q1,1/1/1997,0.01712187,0.035401945,1.070555471,-0.005922548,1.57178844,0.023518529,0.041864861,0.227119557,0.028122049,0.401,1.297670406,0.082836862,0.052766667,0.146275844,6,0,0,0,0,1,0,0,0
MX1997Q2,MX,1997-Q2,1/4/1997,0.004670888,0.031870978,1.01261487,-0.008792197,1.4695407,0.055945536,0.084286254,0.193028582,0.022875204,0.387,1.352765023,0.01736781,0.055233333,0.000324741,6,0,0,0,0,1,0,0,0
MX1997Q3,MX,1997-Q3,1/7/1997,0.022891474,0.053225979,0.969536831,-0.01199249,1.236175042,-0.024086165,0.077962773,0.175690971,0.021255339,0.361,1.375169607,0.010918377,0.055333333,0.119194598,6,0,0,0,0,1,0,0,0
MX1997Q4,MX,1997-Q4,1/10/1997,0.003617565,-0.003666802,0.952842047,-0.015327667,1.099610607,-0.010594949,0.069343016,0.158893476,0.019024173,0.346,1.403854875,-0.199590027,0.055066667,0.18818467,6,0,0,0,0,1,0,0,0
MX1998Q1,MX,1998-Q1,1/1/1998,-0.025660469,0.012104777,0.942231192,-0.021165843,1.067514246,0.023167335,0.088807153,0.142343391,0.013651812,0.342,1.415953757,-0.073928094,0.0552,-0.239391668,6,0,0,0,0,1,0,0,0
MX1998Q2,MX,1998-Q2,1/4/1998,-0.049204915,0.033455857,0.925481962,-0.025195777,1.014491064,-0.002284572,0.050121529,0.140869609,0.016539397,0.342,1.496253324,-0.02622208,0.055,0.009785475,6,0,0,0,0,1,0,0,0
MX1998Q3,MX,1998-Q3,1/7/1998,-0.105860499,-0.025219072,0.919046105,-0.028960305,1.039180906,-0.023931709,0.049453086,0.145078634,0.020505073,0.34,1.82404877,-0.28536146,0.055333333,0.323240554,6,0,0,0,0,1,0,0,0
MX1998Q4,MX,1998-Q4,1/10/1998,-0.13667302,0.024643834,0.94226154,-0.030372735,0.986413703,0.009884876,0.021235668,0.161818332,0.0207421,0.32,1.997559144,-0.035352645,0.0486,-0.007236841,6,0,0,0,0,1,0,0,0
MX1999Q1,MX,1999-Q1,1/1/1999,-0.103679113,0.028776798,0.927015023,-0.030021236,0.978997021,0.013373509,0.023040652,0.170581074,0.020059401,0.31,1.997616468,0.070736885,0.047333333,-0.080494276,6,0,0,0,0,1,0,0,0
MX1999Q2,MX,1999-Q2,1/4/1999,-0.042980436,0.085334176,0.944319738,-0.028098071,1.002990296,0.034913556,0.023329235,0.16445349,0.023195637,0.302,2.128165052,0.219452024,0.047466667,-0.110754821,6,0,0,0,0,1,0,0,0
MX1999Q3,MX,1999-Q3,1/7/1999,-0.031115889,0.05060402,0.960587622,-0.024534533,0.934630908,0.022718758,0.029472651,0.152520646,0.02064676,0.279,2.08515353,0.064433246,0.050933333,-0.045062804,6,0,0,0,0,1,0,0,0
MX1999Q4,MX,1999-Q4,1/10/1999,-0.040575483,0.020285125,0.95880535,-0.023266549,0.950752592,0.008859012,0.034174259,0.128379475,0.022909524,0.27,1.992878942,0.052649486,0.053066667,-0.028812759,6,0,0,0,0,1,0,0,0
MX2000Q1,MX,2000-Q1,1/1/2000,-0.032825,0.082197546,0.960020429,-0.024386818,0.798951107,0.021529925,0.051641282,0.100291549,0.021429025,0.263,1.991258077,0.171463047,0.056766667,0.02148309,6,0,0,0,0,1,0,0,0
MX2000Q2,MX,2000-Q2,1/4/2000,-0.041043902,0.044342363,0.942762875,-0.024292366,1.022554392,0.00341666,0.055163439,0.091138954,0.021249258,0.266,2.038822526,-0.128554071,0.062733333,0.073821427,6,0,0,0,0,1,0,0,0
MX2000Q3,MX,2000-Q3,1/7/2000,-0.020796702,0.051168539,0.936337245,-0.024604005,1.09745158,-0.002854142,0.05546048,0.086392083,0.021069311,0.257,2.085984523,-0.052532162,0.0652,-0.262533046,6,0,0,0,0,1,0,0,0
MX2000Q4,MX,2000-Q4,1/10/2000,-0.038267318,-0.003479796,0.928328871,-0.026435692,1.18700013,-0.028354816,0.035732982,0.085385912,0.020675257,0.251,2.088224012,-0.18733804,0.064733333,0.305440483,6,0,0,0,0,1,0,0,0
MX2001Q1,MX,2001-Q1,1/1/2001,-0.076459753,-0.040907922,0.920870591,-0.025690885,1.15081929,0.01992314,0.005587218,0.071914792,0.021038374,0.247,2.057327259,-0.003438823,0.055933333,-0.01121765,6,0,0,0,0,1,0,0,0
